Feature,Importance
294,7.0665469573736654
113,7.028220726673099
232,7.018536063836594
171,7.007185469134646
224,6.873506667389307
107,6.8628660283718
176,6.862794943966399
223,6.8403158487773545
366,6.799653605261999
208,6.783830789210542
245,6.773401216002037
130,6.747771012044577
151,6.7107214960661725
201,6.673598148198262
75,6.617837643367885
157,6.602905040770635
62,6.601000562064497
23,6.5273420722525834
354,6.486712958729642
273,6.449873826529801
194,6.445223502834265
27,6.408245041795233
268,6.3968838922148485
51,6.310404085774463
112,6.298524197564331
147,6.293884805611005
335,6.2905922616011125
326,6.2826201683685055
46,6.24549890290482
114,6.2364674538762355
95,6.223467586136896
86,6.16388580822529
360,6.158957622156366
261,6.117016041085267
167,6.052295986795878
102,5.993631087918439
278,5.963682283340249
70,5.944747145359769
276,5.899913115546061
317,5.833306574609878
137,5.804209535643698
253,5.728153445522832
61,5.707828890969973
296,5.68548327936779
306,5.633769131353041
222,5.622826874448194
117,5.613173611966107
103,5.571231407021579
271,5.566476319542209
135,5.5576742843872715
295,5.474558256124545
314,5.473225884730976
186,5.472920738052434
349,5.391733964419493
35,5.386628969912514
36,5.2675616351374215
250,5.165673232506572
256,5.106489995404538
97,5.102024641409593
341,5.09650896362413
338,5.070562858485077
170,5.069954578916491
33,5.066168928399997
255,5.06589723884078
236,4.89884333606212
344,4.8769509253548655
84,4.802650461658513
304,4.73401165699277
368,4.724861561240731
363,4.684359495854496
126,4.680704965867572
74,4.652959933007658
183,4.578193512309115
34,4.5351916852740874
164,4.4929834084372064
286,4.482576483334398
158,4.3572526835943055
318,4.339509283253784
217,4.326118099355956
9,4.319225355647806
309,4.298552898661955
251,4.228167270993742
359,4.194358874526817
53,4.031841316914695
267,4.015711661788391
200,4.002517408032132
111,3.9843677252007006
243,3.914889535284856
229,3.797798872076831
138,3.791524981926684
225,3.7400526427115013
146,3.731271272655145
4,3.658602992263624
315,3.649532343858061
118,3.6368543117445173
144,3.603341717962955
21,3.528723553266806
365,3.459216867273347
214,3.419761242942707
165,3.407938561376641
300,3.4012326233455124
191,3.3165057115240226
302,3.25131412402796
172,3.233411528182683
320,3.2160731588937583
280,3.214881950752938
77,3.209985083196516
173,3.1074714248471897
161,3.035847077004027
182,2.9987764249713136
180,2.9598438503184834
160,2.9335852533913664
198,2.878471929467456
355,2.7882919551238214
59,2.7269962252770004
369,2.6991350851378906
352,2.694692632365232
242,2.663687350571208
218,2.6435162735081095
310,2.617343932586972
156,2.603215393755497
31,2.589878759939868
257,2.57653406980514
339,2.5312366673026343
64,2.4982344818156466
239,2.4828729339488165
292,2.4037265642648276
249,2.3982210258811456
140,2.3774910473365782
234,2.359977517194834
190,2.359289353169341
345,2.3349726118673573
175,2.322997633381615
41,2.29415061996312
311,2.2823217683247865
289,2.2690002295161094
357,2.234396831853707
66,2.1371286104082
293,2.1050595317832297
216,1.9991449624292166
109,1.9919787572071357
221,1.991068902324617
163,1.989156089645395
301,1.979629636128129
115,1.9360222640150668
207,1.9183911977212902
281,1.9003000943786885
246,1.7703736855172174
129,1.7412222567651952
123,1.7079335333029881
356,1.6094380505727135
241,1.5698851807540093
237,1.5423776471599933
350,1.536059685350065
124,1.5103101577232065
134,1.492758949592047
44,1.4419251143811365
226,1.4282753569690518
119,1.3232597803074464
108,1.3062177491051354
263,1.1784306318615618
227,1.1680215473160072
174,1.1657281742634367
48,1.1094403475034398
159,1.1029512669527746
364,1.0415957279765384
270,1.0378765184953211
162,0.9424682680132102
181,0.8809864514811641
340,0.839131256892077
79,0.799293736116458
166,0.7024520967186594
235,0.7020886355772671
321,0.661727809312219
63,0.628063385289293
136,0.6073258963210452
116,0.5454822069743726
240,0.4886924287090908
192,0.44503127864870606
82,0.4071587152127245
220,0.4050201478257822
209,0.3896239851039285
228,0.3681943632650353
290,0.33346141309606203
32,0.28819821162787385
215,0.21522753398180505
358,0.21480823737455013
197,0.1631631195975023
219,0.10489615800480845
73,0.09905648208757079
154,0.05115414868894197
87,0.04516812642124268
323,0.03224594357151611
